Date,Open,High,Low,Close,Volume,Amount,Returns,Ret_Lag_1,Ret_Lag_2,Ret_Lag_3,Ret_Lag_5,Ret_Lag_10,RSI_6,RSI_12,MACD_Diff,MACD_Dea,MACD_Hist,ATR,Body_Ratio,MA20,Bias_20,Next_Ret,Target
2024-11-15,404.0,407.0,399.0,401.0,290613,11694319616.0,-0.005949429846306309,-0.00099058940069352,0.0,-0.022749273959341676,-0.017740429505135324,0.036085022244191745,29.239775040159387,39.22238279952141,-3.470709178812797,-0.7346074832191335,-2.7361016955936632,13.237953083244335,-0.374999999953125,416.26000000000005,-0.03665977994522665,0.007980049875311757,1
2024-11-18,405.2,413.4,401.6,404.2,204935,8334918656.0,0.007980049875311757,-0.005949429846306309,-0.00099058940069352,0.0,-0.018060836501901156,-0.0004770992366411875,37.478365430767475,42.063208530296244,-3.8106865076114786,-1.3498232880976024,-2.460863219513876,13.178099291584024,-0.08474576270468288,415.41999999999996,-0.027008810360598844,0.004948045522018774,0
2024-11-19,406.6,409.0,403.4,406.2,138793,5642161152.0,0.004948045522018774,0.007980049875311757,-0.005949429846306309,-0.00099058940069352,-0.022749273959341676,0.021002386634844994,42.49944396084231,43.85257520124132,-3.874079725244485,-1.8546745755269791,-2.019405149717506,12.63680648504231,-0.07142857141582212,414.65,-0.02037863258169538,0.011324470704086709,1
2024-11-20,408.2,413.8,406.2,410.8,150051,6154782208.0,0.011324470704086709,0.004948045522018774,0.007980049875311757,-0.005949429846306309,0.0,-0.01870032725572701,52.93221218482082,47.89067241038257,-3.5126461524470187,-2.186268890910987,-1.3263772615360319,12.277034593253576,0.34210526311288286,413.78000000000003,-0.007201894726666388,-0.007789678675754641,-1
2024-11-21,409.4,411.4,407.0,407.6,125017,5113866752.0,-0.007789678675754641,0.011324470704086709,0.004948045522018774,0.007980049875311757,-0.00099058940069352,0.02048594568842299,45.969607986042085,45.41211293799118,-3.444712200512356,-2.4379575528312607,-1.0067546476810953,11.714389265164035,-0.40909090899792566,413.06000000000006,-0.013218418631675872,-0.01717369970559368,-1
2024-11-22,408.8,412.4,399.6,400.6,169495,6864777728.0,-0.01717369970559368,-0.007789678675754641,0.011324470704086709,0.004948045522018774,-0.005949429846306309,-0.017740429505135324,34.17084071830314,40.4200313159491,-3.9106361732072514,-2.732493276906459,-1.1781428963007925,11.791932889080886,-0.6406249999499526,412.03999999999996,-0.02776429472866698,-0.013479780329505808,-1
2024-11-25,400.0,402.4,393.8,395.2,278883,11050847232.0,-0.013479780329505808,-0.01717369970559368,-0.007789678675754641,0.011324470704086709,0.007980049875311757,-0.018060836501901156,27.610613802554965,36.99736152014583,-4.661879899128223,-3.118370601350812,-1.5435092977774114,11.563937682717963,-0.5581395348188245,410.93999999999994,-0.03830242857838116,-0.003542510121457454,0
2024-11-26,392.2,399.2,392.2,393.8,169406,6691212288.0,-0.003542510121457454,-0.013479780329505808,-0.01717369970559368,-0.007789678675754641,0.004948045522018774,-0.022749273959341676,26.054432010763378,36.13202799150987,-5.309015241099075,-3.556499529300465,-1.7525157117986105,11.237942133952394,0.22857142853877876,409.7099999999999,-0.038832344829269276,0.022854240731335684,1
2024-11-27,394.6,406.2,392.0,402.8,166856,6663311872.0,0.022854240731335684,-0.003542510121457454,-0.013479780329505808,-0.01717369970559368,0.011324470704086709,0.0,48.462461241362625,45.13188933767955,-5.037579794026669,-3.852715582245706,-1.1848642117809631,11.449517695812936,0.5774647886917275,409.3,-0.01588077204984119,-0.006951340615690249,-1
2024-11-28,401.4,404.2,397.4,400.0,130676,5231565824.0,-0.006951340615690249,0.022854240731335684,-0.003542510121457454,-0.013479780329505808,-0.007789678675754641,-0.00099058940069352,43.537001273453065,43.07196413215366,-4.990870201089251,-4.080346506014416,-0.9105236950748354,11.117409288969155,-0.20588235291089596,409.07000000000005,-0.022172244359156254,-0.0050000000000000044,-1
